assignment_code,stage,assigned_to_local_code,issued,returned
S001,formal,,,
S042,formal,,,
S002,formal,,,
S043,formal,,,
S003,formal,,,
S044,formal,,,
S004,formal,,,
S045,formal,,,
S005,formal,,,
S046,formal,,,
S006,formal,,,
S047,formal,,,
S007,formal,,,
S048,formal,,,
S008,formal,,,
S049,formal,,,
S009,formal,,,
S050,formal,,,
S010,formal,,,
S051,formal,,,
S011,formal,,,
S052,formal,,,
S012,formal,,,
S053,formal,,,
S013,formal,,,
S054,formal,,,
S014,formal,,,
S055,formal,,,
S015,formal,,,
S056,formal,,,
S016,formal,,,
S057,formal,,,
S017,formal,,,
S058,formal,,,
S018,formal,,,
S059,formal,,,
S019,formal,,,
S060,formal,,,
S020,formal,,,
S061,formal,,,
S021,formal,,,
S062,formal,,,
S022,formal,,,
S063,formal,,,
S023,formal,,,
S064,formal,,,
S024,formal,,,
S065,formal,,,
S025,formal,,,
S066,formal,,,
S026,formal,,,
S067,formal,,,
S027,formal,,,
S068,formal,,,
S028,formal,,,
S069,formal,,,
S029,formal,,,
S070,formal,,,
S030,formal,,,
S071,formal,,,
S031,formal,,,
S072,formal,,,
S032,formal,,,
S073,formal,,,
S033,formal,,,
S074,formal,,,
S034,formal,,,
S075,formal,,,
S035,formal,,,
S076,formal,,,
S036,formal,,,
S077,formal,,,
S037,formal,,,
S078,formal,,,
S038,formal,,,
S079,formal,,,
S039,formal,,,
S080,formal,,,
S040,formal,,,
S081,formal,,,
S041,formal,,,
S082,formal,,,
P001,pilot,,,
P002,pilot,,,
P003,pilot,,,
P004,pilot,,,
P005,pilot,,,
P006,pilot,,,
P007,pilot,,,
P008,pilot,,,
