pair_id,kind,source_id,q,first,second,n,wins,ties,losses,unsure,judgeable,preference
p268pkt6x9s,structure,aurora_court_of_migrating_cities,1,agora_compositional,single_pass,2,1,0,1,0,2,0.5
p268pkt6x9s,structure,aurora_court_of_migrating_cities,2,agora_compositional,single_pass,2,2,0,0,0,2,1.0
p268pkt6x9s,structure,aurora_court_of_migrating_cities,3,agora_compositional,single_pass,2,2,0,0,0,2,1.0
p3muu378r39,images,lwb_hidden_v2_01,1,gemini_3_7_flash,gpt_5_6_sol,2,2,0,0,0,2,1.0
p3muu378r39,images,lwb_hidden_v2_01,2,gemini_3_7_flash,gpt_5_6_sol,2,0,0,2,0,2,0.0
p3muu378r39,images,lwb_hidden_v2_01,3,gemini_3_7_flash,gpt_5_6_sol,2,2,0,0,0,2,1.0
p3s4vrde99z,images,lwb_hidden_v2_01,1,gemini_3_1_pro_preview,gemini_3_7_flash,2,0,0,2,0,2,0.0
p3s4vrde99z,images,lwb_hidden_v2_01,2,gemini_3_1_pro_preview,gemini_3_7_flash,2,0,0,2,0,2,0.0
p3s4vrde99z,images,lwb_hidden_v2_01,3,gemini_3_1_pro_preview,gemini_3_7_flash,2,1,0,1,0,2,0.5
p45p4mj42fh,images,lwb_hidden_v2_01,1,gemini_3_7_flash,gpt_5_6_terra,2,0,0,2,0,2,0.0
p45p4mj42fh,images,lwb_hidden_v2_01,2,gemini_3_7_flash,gpt_5_6_terra,2,0,0,2,0,2,0.0
p45p4mj42fh,images,lwb_hidden_v2_01,3,gemini_3_7_flash,gpt_5_6_terra,2,0,0,2,0,2,0.0
p4n4wt973gs,images,lwb_hidden_v2_01,1,gemini_2_5_flash,gemini_3_1_pro_preview,1,1,0,0,0,1,1.0
p4n4wt973gs,images,lwb_hidden_v2_01,2,gemini_2_5_flash,gemini_3_1_pro_preview,1,0,0,1,0,1,0.0
p4n4wt973gs,images,lwb_hidden_v2_01,3,gemini_2_5_flash,gemini_3_1_pro_preview,1,1,0,0,0,1,1.0
p99djg9fns3,structure,clockwork_rain_conservatory,1,agora_compositional,single_pass,4,0,0,4,0,4,0.0
p99djg9fns3,structure,clockwork_rain_conservatory,2,agora_compositional,single_pass,4,4,0,0,0,4,1.0
p99djg9fns3,structure,clockwork_rain_conservatory,3,agora_compositional,single_pass,4,1,0,3,0,4,0.25
pb77h495mwy,images,lwb_hidden_v2_01,1,gemini_3_5_flash_lite,gpt_5_6_sol,2,2,0,0,0,2,1.0
pb77h495mwy,images,lwb_hidden_v2_01,2,gemini_3_5_flash_lite,gpt_5_6_sol,2,0,0,2,0,2,0.0
pb77h495mwy,images,lwb_hidden_v2_01,3,gemini_3_5_flash_lite,gpt_5_6_sol,2,2,0,0,0,2,1.0
