world,model,repeat,condition,successful_actions,material_actions,inventory_actions,move_actions,approved_proposals,api_errors
clockwork_rain_conservatory,gemini-2.5-flash,1,catalog_only,68,43,0,43,0,0
clockwork_rain_conservatory,gemini-2.5-flash,1,full,64,44,1,43,1,0
clockwork_rain_conservatory,gemini-2.5-flash,1,no_event_history,59,30,5,25,11,0
clockwork_rain_conservatory,gemini-2.5-flash,2,catalog_only,68,27,0,27,0,0
clockwork_rain_conservatory,gemini-2.5-flash,2,full,57,32,4,28,4,0
clockwork_rain_conservatory,gemini-2.5-flash,2,no_event_history,55,38,8,30,9,0
clockwork_rain_conservatory,gemini-2.5-flash,3,catalog_only,60,30,0,30,0,0
clockwork_rain_conservatory,gemini-2.5-flash,3,full,55,31,1,30,3,0
clockwork_rain_conservatory,gemini-2.5-flash,3,no_event_history,63,29,8,21,22,0
tidal_embassy_lost_languages,gemini-2.5-flash,1,catalog_only,65,31,0,31,0,0
tidal_embassy_lost_languages,gemini-2.5-flash,1,full,67,37,6,31,6,0
tidal_embassy_lost_languages,gemini-2.5-flash,1,no_event_history,56,20,3,17,26,0
tidal_embassy_lost_languages,gemini-2.5-flash,2,catalog_only,53,33,0,33,0,0
tidal_embassy_lost_languages,gemini-2.5-flash,2,full,58,24,2,22,2,0
tidal_embassy_lost_languages,gemini-2.5-flash,2,no_event_history,58,32,0,32,19,0
tidal_embassy_lost_languages,gemini-2.5-flash,3,catalog_only,61,29,0,29,0,0
tidal_embassy_lost_languages,gemini-2.5-flash,3,full,48,28,0,28,14,0
tidal_embassy_lost_languages,gemini-2.5-flash,3,no_event_history,61,28,0,28,6,0
