model,label,q,item,comparisons,wins,ties,losses,unsure,judgeable,preference_points,observed_vote_score
gemini_2_5_flash,Gemini 2.5 Flash,1,Explore preference,10,8,0,2,0,10,8.0,0.8
gemini_2_5_flash,Gemini 2.5 Flash,2,Map readability,10,7,0,3,0,10,7.0,0.7
gemini_2_5_flash,Gemini 2.5 Flash,3,Character-world fit,10,7,0,2,1,9,7.0,0.7777777777777778
gemini_3_1_flash_lite,Gemini 3.1 Flash Lite,1,Explore preference,10,6,0,4,0,10,6.0,0.6
gemini_3_1_flash_lite,Gemini 3.1 Flash Lite,2,Map readability,10,0,1,9,0,10,0.5,0.05
gemini_3_1_flash_lite,Gemini 3.1 Flash Lite,3,Character-world fit,10,4,0,5,1,9,4.0,0.4444444444444444
gemini_3_1_pro_preview,Gemini 3.1 Pro Preview,1,Explore preference,11,2,0,9,0,11,2.0,0.18181818181818182
gemini_3_1_pro_preview,Gemini 3.1 Pro Preview,2,Map readability,11,4,1,6,0,11,4.5,0.4090909090909091
gemini_3_1_pro_preview,Gemini 3.1 Pro Preview,3,Character-world fit,11,3,1,6,1,10,3.5,0.35
gemini_3_5_flash_lite,Gemini 3.5 Flash Lite,1,Explore preference,14,6,0,8,0,14,6.0,0.42857142857142855
gemini_3_5_flash_lite,Gemini 3.5 Flash Lite,2,Map readability,14,2,0,12,0,14,2.0,0.14285714285714285
gemini_3_5_flash_lite,Gemini 3.5 Flash Lite,3,Character-world fit,14,6,1,7,0,14,6.5,0.4642857142857143
gemini_3_7_flash,Gemini 3.7 Flash,1,Explore preference,11,5,0,6,0,11,5.0,0.45454545454545453
gemini_3_7_flash,Gemini 3.7 Flash,2,Map readability,11,6,0,5,0,11,6.0,0.5454545454545454
gemini_3_7_flash,Gemini 3.7 Flash,3,Character-world fit,11,5,0,6,0,11,5.0,0.45454545454545453
gpt_5_6_sol,GPT-5.6 Sol,1,Explore preference,11,4,0,7,0,11,4.0,0.36363636363636365
gpt_5_6_sol,GPT-5.6 Sol,2,Map readability,11,9,0,2,0,11,9.0,0.8181818181818182
gpt_5_6_sol,GPT-5.6 Sol,3,Character-world fit,11,5,0,6,0,11,5.0,0.45454545454545453
gpt_5_6_terra,GPT-5.6 Terra,1,Explore preference,13,9,0,4,0,13,9.0,0.6923076923076923
gpt_5_6_terra,GPT-5.6 Terra,2,Map readability,13,11,0,2,0,13,11.0,0.8461538461538461
gpt_5_6_terra,GPT-5.6 Terra,3,Character-world fit,13,7,0,5,1,12,7.0,0.5833333333333334
