code,round,page,kind,pair_id,source_id,q,item,answer,a,b,winner,included
V01,1,2,images,pqpfxmjtr95,lwb_hidden_v2_01,1,Explore preference,A,gemini_2_5_flash,gemini_3_1_flash_lite,gemini_2_5_flash,True
V01,1,2,images,pqpfxmjtr95,lwb_hidden_v2_01,2,Map readability,A,gemini_2_5_flash,gemini_3_1_flash_lite,gemini_2_5_flash,True
V01,1,2,images,pqpfxmjtr95,lwb_hidden_v2_01,3,Character-world fit,Not sure,gemini_2_5_flash,gemini_3_1_flash_lite,Not sure,True
V01,2,3,images,pve74cbss7m,lwb_hidden_v2_01,1,Explore preference,B,gpt_5_6_sol,gpt_5_6_terra,gpt_5_6_terra,True
V01,2,3,images,pve74cbss7m,lwb_hidden_v2_01,2,Map readability,B,gpt_5_6_sol,gpt_5_6_terra,gpt_5_6_terra,True
V01,2,3,images,pve74cbss7m,lwb_hidden_v2_01,3,Character-world fit,A,gpt_5_6_sol,gpt_5_6_terra,gpt_5_6_sol,True
V01,3,4,structure,pba8emhpy3a,tidal_embassy_of_lost_languages,1,Explore preference,B,single_pass,agora_compositional,agora_compositional,True
V01,3,4,structure,pba8emhpy3a,tidal_embassy_of_lost_languages,2,World clarity,A,single_pass,agora_compositional,single_pass,True
V01,3,4,structure,pba8emhpy3a,tidal_embassy_of_lost_languages,3,Place-scene fit,Not sure,single_pass,agora_compositional,Not sure,True
V01,4,5,images,pkmwb7u7g3n,lwb_hidden_v2_01,1,Explore preference,B,gemini_2_5_flash,gpt_5_6_sol,gpt_5_6_sol,True
V01,4,5,images,pkmwb7u7g3n,lwb_hidden_v2_01,2,Map readability,A,gemini_2_5_flash,gpt_5_6_sol,gemini_2_5_flash,True
V01,4,5,images,pkmwb7u7g3n,lwb_hidden_v2_01,3,Character-world fit,B,gemini_2_5_flash,gpt_5_6_sol,gpt_5_6_sol,True
V01,5,6,images,pqz6par2vck,lwb_hidden_v2_01,1,Explore preference,A,gpt_5_6_terra,gemini_3_1_pro_preview,gpt_5_6_terra,True
V01,5,6,images,pqz6par2vck,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_terra,gemini_3_1_pro_preview,gpt_5_6_terra,True
V01,5,6,images,pqz6par2vck,lwb_hidden_v2_01,3,Character-world fit,Not sure,gpt_5_6_terra,gemini_3_1_pro_preview,Not sure,True
V01,6,7,structure,pgtsk9rzfxz,night_market_of_unfinished_weather,1,Explore preference,A,agora_compositional,single_pass,agora_compositional,True
V01,6,7,structure,pgtsk9rzfxz,night_market_of_unfinished_weather,2,World clarity,A,agora_compositional,single_pass,agora_compositional,True
V01,6,7,structure,pgtsk9rzfxz,night_market_of_unfinished_weather,3,Place-scene fit,A,agora_compositional,single_pass,agora_compositional,True
V02,1,2,images,pb77h495mwy,lwb_hidden_v2_01,1,Explore preference,B,gpt_5_6_sol,gemini_3_5_flash_lite,gemini_3_5_flash_lite,True
V02,1,2,images,pb77h495mwy,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_sol,gemini_3_5_flash_lite,gpt_5_6_sol,True
V02,1,2,images,pb77h495mwy,lwb_hidden_v2_01,3,Character-world fit,B,gpt_5_6_sol,gemini_3_5_flash_lite,gemini_3_5_flash_lite,True
V02,2,3,structure,pm36f3jqvfc,mycelium_patent_bazaar,1,Explore preference,B,single_pass,agora_compositional,agora_compositional,True
V02,2,3,structure,pm36f3jqvfc,mycelium_patent_bazaar,2,World clarity,A,single_pass,agora_compositional,single_pass,True
V02,2,3,structure,pm36f3jqvfc,mycelium_patent_bazaar,3,Place-scene fit,A,single_pass,agora_compositional,single_pass,True
V02,3,4,images,pkmwb7u7g3n,lwb_hidden_v2_01,1,Explore preference,B,gpt_5_6_sol,gemini_2_5_flash,gemini_2_5_flash,True
V02,3,4,images,pkmwb7u7g3n,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_sol,gemini_2_5_flash,gpt_5_6_sol,True
V02,3,4,images,pkmwb7u7g3n,lwb_hidden_v2_01,3,Character-world fit,B,gpt_5_6_sol,gemini_2_5_flash,gemini_2_5_flash,True
V02,4,5,images,pve74cbss7m,lwb_hidden_v2_01,1,Explore preference,B,gpt_5_6_terra,gpt_5_6_sol,gpt_5_6_sol,True
V02,4,5,images,pve74cbss7m,lwb_hidden_v2_01,2,Map readability,B,gpt_5_6_terra,gpt_5_6_sol,gpt_5_6_sol,True
V02,4,5,images,pve74cbss7m,lwb_hidden_v2_01,3,Character-world fit,B,gpt_5_6_terra,gpt_5_6_sol,gpt_5_6_sol,True
V02,5,6,structure,pshtgk9bhb8,cartographer_lung_exchange,1,Explore preference,B,agora_compositional,single_pass,single_pass,True
V02,5,6,structure,pshtgk9bhb8,cartographer_lung_exchange,2,World clarity,B,agora_compositional,single_pass,single_pass,True
V02,5,6,structure,pshtgk9bhb8,cartographer_lung_exchange,3,Place-scene fit,B,agora_compositional,single_pass,single_pass,True
V02,6,7,images,pe5t7ur8bj8,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_5_flash_lite,gemini_3_7_flash,gemini_3_7_flash,True
V02,6,7,images,pe5t7ur8bj8,lwb_hidden_v2_01,2,Map readability,B,gemini_3_5_flash_lite,gemini_3_7_flash,gemini_3_7_flash,True
V02,6,7,images,pe5t7ur8bj8,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_5_flash_lite,gemini_3_7_flash,gemini_3_7_flash,True
V03,1,2,structure,pjr89bu8zuw,sunken_satellite_monastery,1,Explore preference,A,agora_compositional,single_pass,agora_compositional,True
V03,1,2,structure,pjr89bu8zuw,sunken_satellite_monastery,2,World clarity,B,agora_compositional,single_pass,single_pass,True
V03,1,2,structure,pjr89bu8zuw,sunken_satellite_monastery,3,Place-scene fit,A,agora_compositional,single_pass,agora_compositional,True
V03,2,3,images,pb77h495mwy,lwb_hidden_v2_01,1,Explore preference,A,gemini_3_5_flash_lite,gpt_5_6_sol,gemini_3_5_flash_lite,True
V03,2,3,images,pb77h495mwy,lwb_hidden_v2_01,2,Map readability,B,gemini_3_5_flash_lite,gpt_5_6_sol,gpt_5_6_sol,True
V03,2,3,images,pb77h495mwy,lwb_hidden_v2_01,3,Character-world fit,A,gemini_3_5_flash_lite,gpt_5_6_sol,gemini_3_5_flash_lite,True
V03,3,4,images,p4n4wt973gs,lwb_hidden_v2_01,1,Explore preference,A,gemini_2_5_flash,gemini_3_1_pro_preview,gemini_2_5_flash,True
V03,3,4,images,p4n4wt973gs,lwb_hidden_v2_01,2,Map readability,B,gemini_2_5_flash,gemini_3_1_pro_preview,gemini_3_1_pro_preview,True
V03,3,4,images,p4n4wt973gs,lwb_hidden_v2_01,3,Character-world fit,A,gemini_2_5_flash,gemini_3_1_pro_preview,gemini_2_5_flash,True
V03,4,5,structure,p99djg9fns3,clockwork_rain_conservatory,1,Explore preference,A,single_pass,agora_compositional,single_pass,True
V03,4,5,structure,p99djg9fns3,clockwork_rain_conservatory,2,World clarity,B,single_pass,agora_compositional,agora_compositional,True
V03,4,5,structure,p99djg9fns3,clockwork_rain_conservatory,3,Place-scene fit,A,single_pass,agora_compositional,single_pass,True
V03,5,6,images,pr9q8buqrwe,lwb_hidden_v2_01,1,Explore preference,A,gemini_3_1_flash_lite,gpt_5_6_sol,gemini_3_1_flash_lite,True
V03,5,6,images,pr9q8buqrwe,lwb_hidden_v2_01,2,Map readability,B,gemini_3_1_flash_lite,gpt_5_6_sol,gpt_5_6_sol,True
V03,5,6,images,pr9q8buqrwe,lwb_hidden_v2_01,3,Character-world fit,A,gemini_3_1_flash_lite,gpt_5_6_sol,gemini_3_1_flash_lite,True
V03,6,7,images,pe5t7ur8bj8,lwb_hidden_v2_01,1,Explore preference,B,gemini_3_7_flash,gemini_3_5_flash_lite,gemini_3_5_flash_lite,True
V03,6,7,images,pe5t7ur8bj8,lwb_hidden_v2_01,2,Map readability,A,gemini_3_7_flash,gemini_3_5_flash_lite,gemini_3_7_flash,True
V03,6,7,images,pe5t7ur8bj8,lwb_hidden_v2_01,3,Character-world fit,B,gemini_3_7_flash,gemini_3_5_flash_lite,gemini_3_5_flash_lite,True
V04,1,2,images,pyega4erk2n,lwb_hidden_v2_01,1,Explore preference,A,gpt_5_6_terra,gemini_3_1_flash_lite,gpt_5_6_terra,False
V04,1,2,images,pyega4erk2n,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_terra,gemini_3_1_flash_lite,gpt_5_6_terra,False
V04,1,2,images,pyega4erk2n,lwb_hidden_v2_01,3,Character-world fit,A,gpt_5_6_terra,gemini_3_1_flash_lite,gpt_5_6_terra,False
V04,2,3,images,pr9q8buqrwe,lwb_hidden_v2_01,1,Explore preference,B,gpt_5_6_sol,gemini_3_1_flash_lite,gemini_3_1_flash_lite,False
V04,2,3,images,pr9q8buqrwe,lwb_hidden_v2_01,2,Map readability,A,gpt_5_6_sol,gemini_3_1_flash_lite,gpt_5_6_sol,False
