code,position,row,pair_id,arm,prompt_id,left,right,condition_1,condition_2
Q01,1,7,pnahdvfuuck,model,lwb_hidden_v2_03,gemini_2_5_flash,gemini_3_7_flash,gemini_2_5_flash,gemini_3_7_flash
Q01,2,8,pktk4d47f6b,model,lwb_hidden_v2_01,gemini_3_1_pro_preview,gemini_3_1_flash_lite,gemini_3_1_flash_lite,gemini_3_1_pro_preview
Q01,3,9,pshtgk9bhb8,architecture,cartographer_lung_exchange,agora_compositional,single_pass,agora_compositional,single_pass
Q01,4,10,pyw4thkq8rt,model,lwb_hidden_v2_02,gemini_3_1_flash_lite,gpt_5_6_sol,gemini_3_1_flash_lite,gpt_5_6_sol
Q01,5,11,pyega4erk2n,model,lwb_hidden_v2_01,gpt_5_6_terra,gemini_3_1_flash_lite,gemini_3_1_flash_lite,gpt_5_6_terra
Q01,6,12,p99djg9fns3,architecture,clockwork_rain_conservatory,single_pass,agora_compositional,agora_compositional,single_pass
Q02,1,13,pgdgycds8sv,model,lwb_hidden_v2_02,gemini_3_1_pro_preview,gemini_2_5_flash,gemini_2_5_flash,gemini_3_1_pro_preview
Q02,2,14,pm36f3jqvfc,architecture,mycelium_patent_bazaar,agora_compositional,single_pass,agora_compositional,single_pass
Q02,3,15,pwtz9q7kmsh,model,lwb_hidden_v2_01,gemini_3_5_flash_lite,gemini_2_5_flash,gemini_2_5_flash,gemini_3_5_flash_lite
Q02,4,16,p3muu378r39,model,lwb_hidden_v2_01,gpt_5_6_sol,gemini_3_7_flash,gemini_3_7_flash,gpt_5_6_sol
Q02,5,17,p268pkt6x9s,architecture,aurora_court_of_migrating_cities,single_pass,agora_compositional,agora_compositional,single_pass
Q02,6,18,py9zbgpd6fc,model,lwb_hidden_v2_03,gemini_3_7_flash,gpt_5_6_sol,gemini_3_7_flash,gpt_5_6_sol
Q03,1,19,pgtsk9rzfxz,architecture,night_market_of_unfinished_weather,agora_compositional,single_pass,agora_compositional,single_pass
Q03,2,20,pkmwb7u7g3n,model,lwb_hidden_v2_01,gemini_2_5_flash,gpt_5_6_sol,gemini_2_5_flash,gpt_5_6_sol
Q03,3,21,pg7898whx3f,model,lwb_hidden_v2_03,gemini_3_1_flash_lite,gpt_5_6_sol,gemini_3_1_flash_lite,gpt_5_6_sol
Q03,4,22,ppr7yrjpvsq,architecture,archive_of_borrowed_gravity,single_pass,agora_compositional,agora_compositional,single_pass
Q03,5,23,pgu22spkfcc,model,lwb_hidden_v2_01,gemini_3_5_flash_lite,gemini_3_1_pro_preview,gemini_3_1_pro_preview,gemini_3_5_flash_lite
Q03,6,24,p648v347f9d,model,lwb_hidden_v2_02,gemini_3_7_flash,gpt_5_6_sol,gemini_3_7_flash,gpt_5_6_sol
Q04,1,25,pgt7734gb2e,model,lwb_hidden_v2_02,gemini_3_7_flash,gemini_3_1_pro_preview,gemini_3_1_pro_preview,gemini_3_7_flash
Q04,2,26,p2kbaew8fwf,model,lwb_hidden_v2_03,gemini_3_1_flash_lite,gemini_3_1_pro_preview,gemini_3_1_flash_lite,gemini_3_1_pro_preview
Q04,3,27,ppr7yrjpvsq,architecture,archive_of_borrowed_gravity,agora_compositional,single_pass,agora_compositional,single_pass
Q04,4,28,pkvc5vp8bjb,model,lwb_hidden_v2_01,gemini_3_7_flash,gemini_3_1_flash_lite,gemini_3_1_flash_lite,gemini_3_7_flash
Q04,5,29,pr9q8buqrwe,model,lwb_hidden_v2_01,gemini_3_1_flash_lite,gpt_5_6_sol,gemini_3_1_flash_lite,gpt_5_6_sol
Q04,6,30,pba8emhpy3a,architecture,tidal_embassy_of_lost_languages,single_pass,agora_compositional,agora_compositional,single_pass
Q05,1,31,pb77h495mwy,model,lwb_hidden_v2_01,gpt_5_6_sol,gemini_3_5_flash_lite,gemini_3_5_flash_lite,gpt_5_6_sol
Q05,2,32,py6qjxbzc6h,architecture,museum_of_future_debts,single_pass,agora_compositional,agora_compositional,single_pass
Q05,3,33,pqz6par2vck,model,lwb_hidden_v2_01,gpt_5_6_terra,gemini_3_1_pro_preview,gemini_3_1_pro_preview,gpt_5_6_terra
Q05,4,34,pg3xmy8pkvz,model,lwb_hidden_v2_02,gemini_3_1_pro_preview,gemini_3_1_flash_lite,gemini_3_1_flash_lite,gemini_3_1_pro_preview
Q05,5,35,ppr7yrjpvsq,architecture,archive_of_borrowed_gravity,agora_compositional,single_pass,agora_compositional,single_pass
Q05,6,36,py9zbgpd6fc,model,lwb_hidden_v2_03,gpt_5_6_sol,gemini_3_7_flash,gemini_3_7_flash,gpt_5_6_sol
Q06,1,37,ppr7yrjpvsq,architecture,archive_of_borrowed_gravity,single_pass,agora_compositional,agora_compositional,single_pass
Q06,2,38,pskvetzh884,model,lwb_hidden_v2_01,gemini_3_1_flash_lite,gemini_3_5_flash_lite,gemini_3_1_flash_lite,gemini_3_5_flash_lite
Q06,3,39,pj49wkawqm9,model,lwb_hidden_v2_03,gemini_2_5_flash,gemini_3_1_pro_preview,gemini_2_5_flash,gemini_3_1_pro_preview
Q06,4,40,pxy6w6bke2w,architecture,intertidal_embassy_for_extinct_rivers,agora_compositional,single_pass,agora_compositional,single_pass
Q06,5,41,pgt7734gb2e,model,lwb_hidden_v2_02,gemini_3_1_pro_preview,gemini_3_7_flash,gemini_3_1_pro_preview,gemini_3_7_flash
Q06,6,42,pve74cbss7m,model,lwb_hidden_v2_01,gpt_5_6_terra,gpt_5_6_sol,gpt_5_6_sol,gpt_5_6_terra
Q07,1,43,p5v9ht32shd,model,lwb_hidden_v2_03,gemini_3_1_pro_preview,gemini_3_7_flash,gemini_3_1_pro_preview,gemini_3_7_flash
Q07,2,44,pt3e7zeu9qk,model,lwb_hidden_v2_01,gemini_3_1_pro_preview,gpt_5_6_sol,gemini_3_1_pro_preview,gpt_5_6_sol
Q07,3,45,pgtsk9rzfxz,architecture,night_market_of_unfinished_weather,single_pass,agora_compositional,agora_compositional,single_pass
Q07,4,46,p48nrgs79x5,model,lwb_hidden_v2_02,gemini_2_5_flash,gemini_3_1_flash_lite,gemini_2_5_flash,gemini_3_1_flash_lite
Q07,5,47,ps854uqtmnd,model,lwb_hidden_v2_01,gemini_2_5_flash,gpt_5_6_terra,gemini_2_5_flash,gpt_5_6_terra
Q07,6,48,p99djg9fns3,architecture,clockwork_rain_conservatory,agora_compositional,single_pass,agora_compositional,single_pass
Q08,1,49,pghm9nfb6bx,model,lwb_hidden_v2_03,gemini_3_1_pro_preview,gpt_5_6_sol,gemini_3_1_pro_preview,gpt_5_6_sol
Q08,2,50,py6qjxbzc6h,architecture,museum_of_future_debts,agora_compositional,single_pass,agora_compositional,single_pass
Q08,3,51,p4n4wt973gs,model,lwb_hidden_v2_01,gemini_2_5_flash,gemini_3_1_pro_preview,gemini_2_5_flash,gemini_3_1_pro_preview
Q08,4,52,pnez9yz55kd,model,lwb_hidden_v2_01,gpt_5_6_terra,gemini_3_5_flash_lite,gemini_3_5_flash_lite,gpt_5_6_terra
Q08,5,53,pshtgk9bhb8,architecture,cartographer_lung_exchange,single_pass,agora_compositional,agora_compositional,single_pass
